Metric,Value,Rate,Note
Problems,10,,Distinct benchmark tasks
Audited steps,85,,All candidate steps in public release
,,,
Verdict: Accepted,65,0.76,
Verdict: Rejected,6,0.07,
Verdict: Partial,6,0.07,
Verdict: Deferred,6,0.07,
Verdict: Open,2,0.02,
,,,
Assumption compliance,85,1.00,
Inference validity,83,0.98,
Goal completion,65,0.76,
Generalization robustness,59,0.69,
,,,
Inference-validity minus robustness gap,,0.28,
,,,
Proofs with no rejected step,7,,
Proofs with no invalid inference,8,,
Fully goal-complete proofs,3,,
Fully robust proofs,4,,
Accepted theorem-level proofs,3,,
,,,
Search role: Resolve,56,0.66,
Search role: Local-only win,9,0.11,
Search role: Refine gap,6,0.07,
Search role: Eliminate route,4,0.05,
Search role: Invalid inference,2,0.02,
Search role: Undeveloped route,6,0.07,
Search role: Open bridge,2,0.02,
,,,
Agent-rejected routes,4,0.67,
Audit-rejected routes,2,0.33,
